t,Ref_pos,L_Cmd,R_Cmd,L_tau,R_tau,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel
1.621246337890625e-05,0.0,0.3154638588641396,-0.03134312108159065,0.0384393185377121,0.0,0.0,0.004143615718665226,-0.0250764709111132,0.0,0.0,0.004143615718665226,-0.0250764709111132,0.00010186591169376915
0.010421276092529297,0.0,0.28270486506911385,-0.029260165989398956,0.03329707682132721,-0.01464392558051486,0.0,0.030514957344409614,-0.015635830464573185,-0.01464392558051486,0.0,0.030514957344409614,-0.015635830464573185,0.06547834092978345
0.020412921905517578,0.0,0.1466458940138337,-0.03297548368573189,0.033538542687892914,-0.01464392558051486,0.01464392558050065,0.01869399263706685,-0.01087210619005653,-0.01464392558051486,0.01464392558050065,0.01869399263706685,-0.01087210619005653,0.12825465457688806
0.030405282974243164,0.0,-0.007987836484211003,-0.031461089849472046,0.04470266401767731,-0.01464392558051486,0.0,0.02229294370823487,-0.023072694178840458,-0.01464392558051486,0.0,0.02229294370823487,-0.023072694178840458,0.1910304066704629
0.04040813446044922,0.0,-0.1308375070405017,-0.03376375883817673,0.0471097007393837,-0.01464392558051486,0.0,0.02972282215335342,-0.020833596085319622,-0.01464392558051486,0.0,0.02972282215335342,-0.020833596085319622,0.2538645207275761
0.050531625747680664,0.0,-0.16207923087530673,-0.03958778828382492,0.04428955167531967,-0.01464392558051486,0.01464392558050065,-0.005427055954972893,-0.010072719759350481,-0.01464392558051486,0.01464392558050065,-0.005427055954972893,-0.010072719759350481,0.31744622804453626
0.060419559478759766,0.0,-0.05940664752232605,-0.034689515829086304,0.04691022261977196,-0.0292878511610013,0.0,-0.03505224400592115,-0.0005966860596040411,-0.0292878511610013,0.0,-0.03505224400592115,-0.0005966860596040411,0.37953611045419744
0.07042717933654785,0.0,0.1314892776587174,-0.035478148609399796,0.055691350251436234,-0.01464392558051486,0.0,-0.033377453606986254,0.013299308793887108,-0.01464392558051486,0.0,-0.033377453606986254,0.013299308793887108,0.44236261859111886
0.08041858673095703,0.0,0.35693443147262865,-0.036370135843753815,0.056181248277425766,-0.01464392558051486,0.0,-0.050489091850064824,0.010095246376903632,-0.01464392558051486,0.0,-0.050489091850064824,0.010095246376903632,0.50506990051025
0.09041333198547363,0.0,0.5420437670415417,-0.03741825371980667,0.049541328102350235,0.0,0.0,-0.01142855233023768,0.014298602488551667,0.0,0.0,-0.01142855233023768,0.014298602488551667,0.567778215948764
0.10041260719299316,0.0,0.6221525536333945,-0.03946391120553017,0.051985759288072586,-0.01464392558051486,0.01464392558050065,-0.034500636194323205,-0.0034909053492242197,-0.01464392558051486,0.01464392558050065,-0.034500636194323205,-0.0034909053492242197,0.6304925459342854
0.11041402816772461,0.0,0.5985838542923103,-0.04460154101252556,0.05347545072436333,-0.01464392558051486,0.0,-0.052266922055931704,-0.054302608578233096,-0.01464392558051486,0.0,-0.052266922055931704,-0.054302608578233096,0.6931954385838414
0.12072277069091797,0.0,0.4642433564550365,-0.05004382133483887,0.048271626234054565,-0.01464392558051486,0.0,-0.05495855019744564,-0.038573813502764356,-0.01464392558051486,0.0,-0.05495855019744564,-0.038573813502764356,0.7577963773420182
0.13042116165161133,0.0,0.3081184000021746,-0.047233156859874725,0.047169338911771774,-0.01464392558051486,0.0,-0.022302635373141148,-0.07597602277924674,-0.01464392558051486,0.0,-0.022302635373141148,-0.07597602277924674,0.818543501041352
0.14041924476623535,0.0,0.17744129350910065,-0.04565805569291115,0.050406891852617264,0.0,0.01464392558050065,-0.0015540668887312513,-0.06261967456867275,0.0,0.01464392558050065,-0.0015540668887312513,-0.06261967456867275,0.8811359427345535
0.15041232109069824,0.0,0.1531818050306324,-0.047455426305532455,0.050128113478422165,-0.01464392558051486,0.01464392558050065,-0.022707725955387736,-0.05452930882668604,-0.01464392558051486,0.01464392558050065,-0.022707725955387736,-0.05452930882668604,0.9436622938208741
0.16041326522827148,0.0,0.2562754384622505,-0.04978654533624649,0.05033308267593384,-0.01464392558051486,0.0,-0.04789553428605743,-0.04910590850701782,-0.01464392558051486,0.0,-0.04789553428605743,-0.04910590850701782,1.0062006263587535
0.17041540145874023,0.0,0.44855766707903316,-0.05175277963280678,0.05418681725859642,-0.01464392558051486,0.0,-0.07978083835334052,-0.06908653636145917,-0.01464392558051486,0.0,-0.07978083835334052,-0.06908653636145917,1.0687066755619665
0.1804187297821045,0.0,0.6737126141675913,-0.04979619011282921,0.05527376011013985,-0.01464392558051486,0.0,-0.07260785239425115,-0.06433459899908808,-0.01464392558051486,0.0,-0.07260785239425115,-0.06433459899908808,1.1311779580939114
0.19041872024536133,0.0,0.8527639420174835,-0.04684312269091606,0.05798490718007088,-0.01464392558051486,0.01464392558050065,-0.05587433582486286,-0.08728406796086398,-0.01464392558051486,0.01464392558050065,-0.05587433582486286,-0.08728406796086398,1.1935837314612543
0.20042181015014648,0.0,0.9464539836123256,-0.047732364386320114,0.05885261297225952,0.0,0.0,-0.023349121739607594,-0.08848389340821854,0.0,0.0,-0.023349121739607594,-0.08848389340821854,1.2559617044355988
0.21041536331176758,0.0,0.9115938072384575,-0.04253537952899933,0.05956803262233734,-0.01464392558051486,0.0,-0.06411965481353764,-0.06447022227681647,-0.01464392558051486,0.0,-0.06411965481353764,-0.06447022227681647,1.3182306653614044
